model,method,group_name,seed,output_dir,mixed_F1@0.5,mixed_F1@0.95,mixed_Precision@0.5,mixed_Precision@0.95,mixed_Recall@0.5,mixed_Recall@0.95,mixed_mAP@0.5,mixed_mAP@0.5:0.95,mixed_mAP@0.75,mixed_mAP@0.95,matched_F1@0.5,matched_F1@0.95,matched_Precision@0.5,matched_Precision@0.95,matched_Recall@0.5,matched_Recall@0.95,matched_mAP@0.5,matched_mAP@0.5:0.95,matched_mAP@0.75,matched_mAP@0.95,average_forgetting
large,finetuning,large:finetuning,44,experiments/suites/thesis_l40_main/model_large/seed_44/finetuning,0.13488835309136882,0.005335484770808418,0.12317331440011309,0.005260170898588454,0.5117540364379786,0.04215231037190945,0.3458404153303072,0.23911088264196131,0.2839459775388175,0.004240401406734458,,,,,,,,,,,
large,replay,large:replay,42,experiments/suites/thesis_l40_main/model_large/seed_42/replay,0.09914398389739325,0.00671043474545174,0.05355615928689573,0.0036068322380873926,0.9779404183798995,0.0991253576283333,0.7687776771376355,0.5459918742846801,0.6343877577261655,0.020069789431529036,,,,,,,,,,,
large,replay,large:replay,43,experiments/suites/thesis_l40_main/model_large/seed_43/replay,0.13739906274791672,0.012278655631255455,0.07987717768197612,0.007193142032964791,0.9385494369379067,0.09731135011024623,0.696327326165138,0.494072399932537,0.5873923036856824,0.016364802209024296,,,,,,,,,,,
large,replay,large:replay,44,experiments/suites/thesis_l40_main/model_large/seed_44/replay,0.13019319937505494,0.010508946108544847,0.07408667552967088,0.006014744976750607,0.9491259559877543,0.10572259542883315,0.7212010322720511,0.5104233198504738,0.5931532619511006,0.02814449939002851,,,,,,,,,,,
medium,det_lora,medium:det_lora,42,experiments/suites/thesis_l40_main/model_medium/seed_42/det_lora,0.028772888475097763,0.003239120101460881,0.014615771061244731,0.00164461222792021,0.9746032319782713,0.11224564024487547,0.6414512269405171,0.4460298139319027,0.5111985417571163,0.014721068231328417,0.027464444113859898,0.0030889114025983377,0.013928329304314575,0.0015659179294338875,0.9882397793800956,0.11475701697026681,0.8208778809143191,0.5729747317810234,0.6563300827602657,0.0203773378762887,0.0
medium,det_lora,medium:det_lora,43,experiments/suites/thesis_l40_main/model_medium/seed_43/det_lora,0.028831441321572133,0.003638874185651651,0.01464313192937175,0.0018481577120311933,0.9798362946947116,0.12348975583462098,0.6750161801354798,0.46501154462778277,0.533155726701776,0.017927780171446837,0.027457271458690802,0.0034593501290153014,0.01392469639575209,0.00175410503631204,0.9879648137507991,0.12611442775063147,0.8280959641692642,0.5762929918604686,0.665270552722546,0.02060319663550792,0.0
medium,det_lora,medium:det_lora,44,experiments/suites/thesis_l40_main/model_medium/seed_44/det_lora,0.030227872818830274,0.00372534004649008,0.015384396849724489,0.0018944223713261519,0.9727237796029048,0.12731522854525068,0.6828037028930485,0.47747772864879506,0.542118708161294,0.02216896120865276,0.02743003020631002,0.003562413009742431,0.013910871937199629,0.0018064863065832184,0.9870099172226648,0.1295182853768938,0.8152059631624685,0.5737866151232128,0.6536957291681577,0.02708895127028908,0.0
medium,ewc,medium:ewc,42,experiments/suites/thesis_l40_main/model_medium/seed_42/ewc,0.1904177084740805,0.008484318218405945,0.13112725822242075,0.005351080398268732,0.8024834822152712,0.06722268437360658,0.4735309067118119,0.3214418145334205,0.3688128678548083,0.005019618777944677,,,,,,,,,,,
medium,ewc,medium:ewc,43,experiments/suites/thesis_l40_main/model_medium/seed_43/ewc,0.15344815146767452,0.013417254438440657,0.09692066634657004,0.00847159099258006,0.7926871997795469,0.0799504129546766,0.4542521247500461,0.31289832607935714,0.3641090811474157,0.010263018434620234,,,,,,,,,,,
medium,ewc,medium:ewc,44,experiments/suites/thesis_l40_main/model_medium/seed_44/ewc,0.15489298127035409,0.008917111767910024,0.1001633883126737,0.005725026643569994,0.8465259527333945,0.06814967239928336,0.4449790317292317,0.3122400275062243,0.3658939747281187,0.008432350779261619,,,,,,,,,,,
medium,finetuning,medium:finetuning,42,experiments/suites/thesis_l40_main/model_medium/seed_42/finetuning,0.11132384596701515,0.00575078352125017,0.26539504752891485,0.005839046220257171,0.5093644770696485,0.05157882442578957,0.3623319607903126,0.24735054774657392,0.28527147322362495,0.007643512548980669,,,,,,,,,,,
medium,finetuning,medium:finetuning,43,experiments/suites/thesis_l40_main/model_medium/seed_43/finetuning,0.0738957514173837,0.010865144256329689,0.11437897193936569,0.037100260620541996,0.49750258045990386,0.05413525149154121,0.3316810127695415,0.23103680897023215,0.2656349624255953,0.006949157863562018,,,,,,,,,,,
